time_iso8601,forks_cumulative
2019-06-27 00:00:00+00:00,1
2019-10-24 00:00:00+00:00,2
2019-12-06 00:00:00+00:00,3
2019-12-23 00:00:00+00:00,4
2020-03-04 00:00:00+00:00,5
2020-08-27 00:00:00+00:00,6
2020-09-10 00:00:00+00:00,7
2020-12-03 00:00:00+00:00,8
2021-02-02 00:00:00+00:00,9
2021-02-16 00:00:00+00:00,10
2021-03-04 00:00:00+00:00,11
2021-03-22 00:00:00+00:00,14
2021-05-01 00:00:00+00:00,15
2021-08-16 00:00:00+00:00,16
2021-08-20 00:00:00+00:00,17
2021-10-04 00:00:00+00:00,18
2021-10-17 00:00:00+00:00,19
2021-10-26 00:00:00+00:00,20
2021-11-01 00:00:00+00:00,21
2022-01-25 00:00:00+00:00,22
2022-03-02 00:00:00+00:00,23
2022-03-11 00:00:00+00:00,24
2022-04-18 00:00:00+00:00,25
2022-06-02 00:00:00+00:00,26
2022-07-04 00:00:00+00:00,27
2022-07-18 00:00:00+00:00,28
2022-09-02 00:00:00+00:00,29
2022-09-21 00:00:00+00:00,30
2022-09-23 00:00:00+00:00,31
2022-10-18 00:00:00+00:00,32
2022-10-22 00:00:00+00:00,33
2022-10-25 00:00:00+00:00,34
2022-11-02 00:00:00+00:00,35
2022-11-22 00:00:00+00:00,36
2022-12-09 00:00:00+00:00,37
2023-02-16 00:00:00+00:00,38
2023-02-25 00:00:00+00:00,39
2023-03-02 00:00:00+00:00,40
2023-04-12 00:00:00+00:00,41
2023-05-21 00:00:00+00:00,42
2023-06-02 00:00:00+00:00,43
2023-07-13 00:00:00+00:00,44
2023-07-21 00:00:00+00:00,45
2023-08-03 00:00:00+00:00,47
2023-09-05 00:00:00+00:00,48
2023-09-27 00:00:00+00:00,49
2023-10-11 00:00:00+00:00,50
2023-10-19 00:00:00+00:00,51
2023-12-20 00:00:00+00:00,52
2023-12-22 00:00:00+00:00,53
2024-01-23 00:00:00+00:00,54
2024-02-19 00:00:00+00:00,55
2024-03-23 00:00:00+00:00,56
2024-04-08 00:00:00+00:00,57
2024-05-28 00:00:00+00:00,58
2024-08-02 00:00:00+00:00,59
2024-08-12 00:00:00+00:00,60
2024-09-29 00:00:00+00:00,61
2024-11-24 00:00:00+00:00,62
2024-11-26 00:00:00+00:00,63
2024-12-04 00:00:00+00:00,64
